Fact_ID,Student_Key,Group_Key,Total_Pre_Test,Total_Post_Test,Test_Knowledge_Gain,Total_Pre_Enjoyment,Total_Post_Enjoyment,Total_Passion,Passion_Learning_Efficiency
68,68,2,23,63,40,74,89,73,0.863
69,69,2,26,55,29,78,89,80,0.688
70,70,2,30,59,29,76,86,72,0.819
71,71,2,31,54,23,79,91,72,0.75
72,72,2,32,58,26,79,86,75,0.773
73,73,2,22,57,35,72,83,75,0.76
74,74,2,28,56,28,74,81,74,0.757
75,75,2,27,58,31,90,88,84,0.69
76,76,2,22,55,33,82,83,75,0.733
77,77,2,29,60,31,82,79,80,0.75
78,78,2,30,50,20,89,81,76,0.658
79,79,2,30,50,20,76,83,81,0.617
80,80,2,38,55,17,83,74,90,0.611
81,81,2,21,55,34,78,82,79,0.696
82,82,2,26,56,30,80,80,77,0.727
83,83,2,32,56,24,80,72,68,0.824
84,84,2,32,58,26,85,80,81,0.716
85,85,2,18,56,38,74,82,85,0.659
86,86,2,28,49,21,79,80,69,0.71
87,87,2,27,60,33,79,75,72,0.833
88,88,2,23,51,28,81,84,77,0.662
89,89,2,23,53,30,82,83,75,0.707
90,90,2,28,58,30,79,85,83,0.699
91,91,1,27,57,30,77,85,74,0.77
92,92,1,31,60,29,73,81,73,0.822
93,93,1,24,56,32,74,79,69,0.812
94,94,1,17,59,42,80,87,72,0.819
95,95,1,32,49,17,80,80,80,0.612
96,96,1,27,54,27,71,85,78,0.692
97,97,1,34,51,17,79,82,82,0.622
98,98,1,28,53,25,77,85,78,0.679
99,99,1,30,57,27,75,84,74,0.77
100,100,1,31,52,21,79,83,83,0.627
101,101,1,33,60,27,77,87,76,0.789
102,102,1,29,52,23,76,81,69,0.754
103,103,2,26,53,27,76,86,74,0.716
104,104,1,22,56,34,73,83,76,0.737
105,105,1,26,54,28,81,82,76,0.711
106,106,1,21,52,31,68,88,69,0.754
107,107,1,22,61,39,90,87,74,0.824
108,108,1,26,50,24,74,87,76,0.658
109,109,1,19,59,40,81,80,74,0.797
110,110,1,25,52,27,79,86,75,0.693
111,111,1,26,54,28,83,73,74,0.73
112,112,1,29,56,27,80,84,75,0.747
113,113,1,24,62,38,86,85,81,0.765
114,114,1,31,53,22,73,86,71,0.746
115,115,1,28,56,28,70,79,75,0.747
116,116,1,31,49,18,76,70,82,0.598
117,117,1,24,58,34,85,86,76,0.763
118,118,1,37,60,23,75,80,76,0.789
119,119,1,29,58,29,71,87,77,0.753
120,120,1,32,55,23,77,81,75,0.733
121,121,1,21,50,29,77,84,81,0.617
122,122,1,29,59,30,76,91,81,0.728
123,123,1,27,58,31,79,83,71,0.817
124,124,1,27,61,34,75,81,79,0.772
125,125,1,33,51,18,79,81,66,0.773
126,126,1,24,57,33,75,86,73,0.781
127,127,1,32,58,26,77,80,74,0.784
128,128,1,28,58,30,73,89,78,0.744
129,129,1,27,51,24,84,77,72,0.708
130,130,1,33,57,24,72,80,79,0.722
131,131,1,32,60,28,77,78,74,0.811
132,132,1,30,59,29,77,84,85,0.694
133,133,1,31,61,30,74,86,72,0.847
134,134,1,28,58,30,75,89,74,0.784
135,135,1,22,55,33,68,82,77,0.714
136,136,1,33,51,18,71,80,74,0.689
137,137,1,28,55,27,78,81,73,0.753
138,138,1,25,52,27,78,84,81,0.642
139,139,1,33,54,21,65,88,77,0.701
140,140,1,22,60,38,79,77,66,0.909
141,141,1,27,54,27,82,83,75,0.72
142,142,1,24,54,30,77,74,80,0.675
143,143,1,33,58,25,85,83,67,0.866
144,144,1,22,60,38,77,82,79,0.759
145,145,1,22,61,39,79,79,64,0.953
146,146,1,30,47,17,80,81,68,0.691
147,147,1,36,59,23,80,83,77,0.766
148,148,1,32,57,25,75,80,66,0.864
149,149,1,27,56,29,82,83,80,0.7
150,150,1,29,55,26,79,87,75,0.733
151,151,1,29,59,30,81,85,71,0.831
152,152,2,29,57,28,82,83,70,0.814
153,153,2,33,58,25,86,83,72,0.806
154,154,2,27,55,28,74,85,78,0.705
155,155,2,22,57,35,74,89,72,0.792
156,156,2,27,57,30,66,79,76,0.75
157,157,2,32,59,27,76,88,79,0.747
158,158,2,32,53,21,69,75,79,0.671
159,159,1,29,60,31,75,85,67,0.896
160,160,1,34,53,19,74,90,69,0.768
161,161,1,31,55,24,77,87,79,0.696
162,162,1,29,55,26,81,87,75,0.733
163,163,1,30,63,33,71,82,75,0.84
164,164,1,23,57,34,84,82,76,0.75
165,165,1,25,55,30,76,82,76,0.724
166,166,1,23,56,33,83,79,86,0.651
167,167,1,31,56,25,82,83,72,0.778
168,168,1,26,53,27,78,78,77,0.688
169,169,1,32,55,23,78,81,80,0.688
170,170,1,32,56,24,81,81,76,0.737
171,171,1,25,60,35,79,83,76,0.789
172,172,1,34,57,23,78,73,75,0.76
173,173,1,26,48,22,71,86,73,0.658
174,174,1,28,60,32,75,84,74,0.811
175,175,1,35,51,16,77,87,72,0.708
176,176,1,26,59,33,72,79,83,0.711
177,177,1,24,57,33,83,88,77,0.74
178,178,1,24,54,30,77,78,75,0.72
179,179,1,28,61,33,70,83,82,0.744
180,180,1,31,52,21,75,78,75,0.693
181,181,1,26,56,30,79,84,77,0.727
182,182,2,29,55,26,78,80,75,0.733
